# UltraTide data for line 5199F1039/nrt
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  1899   1252395812.8280    0     0.02 
  1900   1252395818.4200    0     0.02 
  1901   1252395823.8800    0     0.02 
  1902   1252395829.4320    0     0.02 
  1903   1252395834.9400    0     0.02 
  1904   1252395840.4400    0     0.02 
  1905   1252395845.9960    0     0.02 
  1906   1252395851.6320    0     0.02 
  1907   1252395857.1520    0     0.02 
  1908   1252395862.8120    0     0.02 
  1909   1252395868.3640    0     0.02 
  1910   1252395873.9160    0     0.02 
  1911   1252395879.5560    0     0.02 
  1912   1252395885.1600    0     0.02 
  1913   1252395890.8000    0     0.02 
  1914   1252395896.3720    0     0.02 
  1915   1252395902.0120    0     0.02 
  1916   1252395907.7280    0     0.02 
  1917   1252395913.2920    0     0.02 
  1918   1252395918.9280    0     0.02 
  1919   1252395924.5400    0     0.02 
  1920   1252395930.1120    0     0.02 
  1921   1252395935.7920    0     0.02 
  1922   1252395941.4520    0     0.02 
  1923   1252395947.1200    0     0.02 
  1924   1252395952.6440    0     0.02 
  1925   1252395958.2840    0     0.02 
  1926   1252395963.8320    0     0.02 
  1927   1252395969.4840    0     0.02 
  1928   1252395975.2240    0     0.02 
  1929   1252395980.8880    0     0.02 
  1930   1252395986.5080    0     0.02 
  1931   1252395992.1080    0     0.02 
  1932   1252395997.8040    0     0.02 
  1933   1252396003.4080    0     0.02 
  1934   1252396009.0400    0     0.02 
  1935   1252396014.6720    0     0.02 
  1936   1252396020.2640    0     0.02 
  1937   1252396025.9600    0     0.02 
  1938   1252396031.6240    0     0.02 
  1939   1252396037.2400    0     0.02 
  1940   1252396042.8600    0     0.02 
  1941   1252396048.4400    0     0.02 
  1942   1252396054.1360    0     0.02 
  1943   1252396059.7800    0     0.02 
  1944   1252396065.4320    0     0.02 
  1945   1252396071.0680    0     0.02 
  1946   1252396076.6080    0     0.02 
  1947   1252396082.2280    0     0.02 
  1948   1252396087.8760    0     0.02 
  1949   1252396093.4480    0     0.02 
  1950   1252396099.0760    0     0.02 
  1951   1252396104.6160    0     0.02 
  1952   1252396110.1720    0     0.02 
  1953   1252396115.8200    0     0.02 
  1954   1252396121.4080    0     0.02 
  1955   1252396127.0200    0     0.02 
  1956   1252396132.6640    0     0.02 
  1957   1252396138.2680    0     0.02 
  1958   1252396143.7720    0     0.02 
  1959   1252396149.4440    0     0.02 
  1960   1252396154.9760    0     0.02 
  1961   1252396160.6080    0     0.02 
  1962   1252396166.1320    0     0.02 
  1963   1252396171.7640    0     0.02 
  1964   1252396177.4360    0     0.02 
  1965   1252396183.1040    0     0.02 
  1966   1252396188.6440    0     0.02 
  1967   1252396194.2320    0     0.02 
  1968   1252396199.9320    0     0.01 
  1969   1252396205.5600    0     0.01 
  1970   1252396211.1400    0     0.01 
  1971   1252396216.6880    0     0.01 
  1972   1252396222.2640    0     0.01 
  1973   1252396227.9680    0     0.01 
  1974   1252396233.5920    0     0.01 
  1975   1252396239.1760    0     0.01 
  1976   1252396244.8400    0     0.01 
  1977   1252396250.4720    0     0.01 
  1978   1252396256.1400    0     0.01 
  1979   1252396261.7760    0     0.01 
  1980   1252396267.3840    0     0.01 
  1981   1252396273.0600    0     0.01 
  1982   1252396278.6480    0     0.01 
  1983   1252396284.1960    0     0.01 
  1984   1252396289.9080    0     0.01 
  1985   1252396295.5000    0     0.01 
  1986   1252396301.1160    0     0.01 
  1987   1252396306.7040    0     0.01 
  1988   1252396312.3200    0     0.01 
  1989   1252396317.9640    0     0.01 
  1990   1252396323.6520    0     0.01 
  1991   1252396329.3080    0     0.01 
  1992   1252396334.9680    0     0.01 
  1993   1252396340.6280    0     0.01 
  1994   1252396346.2640    0     0.01 
  1995   1252396351.9560    0     0.01 
  1996   1252396357.6720    0     0.01 
  1997   1252396363.3760    0     0.01 
  1998   1252396368.9720    0     0.01 
  1999   1252396374.6880    0     0.01 
  2000   1252396380.3280    0     0.01 
  2001   1252396386.0880    0     0.01 
  2002   1252396391.7520    0     0.01 
  2003   1252396397.3560    0     0.01 
  2004   1252396402.9600    0     0.01 
  2005   1252396408.7040    0     0.01 
  2006   1252396414.2960    0     0.01 
  2007   1252396419.9080    0     0.01 
  2008   1252396425.5560    0     0.01 
  2009   1252396431.1080    0     0.01 
  2010   1252396436.6600    0     0.01 
  2011   1252396442.3240    0     0.01 
  2012   1252396447.9000    0     0.01 
  2013   1252396453.5800    0     0.01 
  2014   1252396459.1880    0     0.01 
