# UltraTide data for line 4881P1011/nrt
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  1827   1251455435.8480    0     -0.06 
  1828   1251455441.3160    0     -0.06 
  1829   1251455446.7800    0     -0.06 
  1830   1251455452.2920    0     -0.06 
  1831   1251455457.7800    0     -0.06 
  1832   1251455463.2160    0     -0.06 
  1833   1251455468.7120    0     -0.06 
  1834   1251455474.1760    0     -0.06 
  1835   1251455479.6560    0     -0.06 
  1836   1251455485.1480    0     -0.06 
  1837   1251455490.6400    0     -0.06 
  1838   1251455496.0880    0     -0.06 
  1839   1251455501.5880    0     -0.06 
  1840   1251455507.0680    0     -0.06 
  1841   1251455512.5640    0     -0.06 
  1842   1251455518.1080    0     -0.06 
  1843   1251455523.5680    0     -0.06 
  1844   1251455529.0840    0     -0.06 
  1845   1251455534.6200    0     -0.06 
  1846   1251455540.1520    0     -0.06 
  1847   1251455545.6480    0     -0.06 
  1848   1251455551.2720    0     -0.06 
  1849   1251455556.7880    0     -0.06 
  1850   1251455562.3560    0     -0.06 
  1851   1251455567.8640    0     -0.06 
  1852   1251455573.4680    0     -0.06 
  1853   1251455578.9520    0     -0.06 
  1854   1251455584.5600    0     -0.06 
  1855   1251455590.1160    0     -0.06 
  1856   1251455595.6520    0     -0.06 
  1857   1251455601.2120    0     -0.06 
  1858   1251455606.7440    0     -0.06 
  1859   1251455612.2800    0     -0.06 
  1860   1251455617.7880    0     -0.06 
  1861   1251455623.3560    0     -0.06 
  1862   1251455628.8920    0     -0.06 
  1863   1251455634.4160    0     -0.06 
  1864   1251455639.9320    0     -0.06 
  1865   1251455645.4640    0     -0.06 
  1866   1251455651.0000    0     -0.06 
  1867   1251455656.5000    0     -0.06 
  1868   1251455661.9880    0     -0.06 
  1869   1251455667.5400    0     -0.06 
  1870   1251455673.0360    0     -0.06 
  1871   1251455678.5480    0     -0.06 
  1872   1251455684.0400    0     -0.06 
  1873   1251455689.5920    0     -0.06 
  1874   1251455695.0960    0     -0.06 
  1875   1251455700.6000    0     -0.06 
  1876   1251455706.0920    0     -0.06 
  1877   1251455711.6320    0     -0.06 
  1878   1251455717.1120    0     -0.06 
  1879   1251455722.5760    0     -0.06 
  1880   1251455728.0920    0     -0.06 
  1881   1251455733.6000    0     -0.06 
  1882   1251455739.1040    0     -0.06 
  1883   1251455744.6600    0     -0.06 
  1884   1251455750.1600    0     -0.06 
  1885   1251455755.7160    0     -0.06 
  1886   1251455761.2120    0     -0.06 
  1887   1251455766.7360    0     -0.06 
  1888   1251455772.2520    0     -0.06 
  1889   1251455777.7000    0     -0.06 
  1890   1251455783.2280    0     -0.06 
  1891   1251455788.7280    0     -0.06 
  1892   1251455794.2080    0     -0.06 
  1893   1251455799.7640    0     -0.06 
  1894   1251455805.2560    0     -0.06 
  1895   1251455810.7600    0     -0.06 
  1896   1251455816.2400    0     -0.06 
  1897   1251455821.7880    0     -0.06 
  1898   1251455827.2800    0     -0.06 
  1899   1251455832.8320    0     -0.06 
  1900   1251455838.2720    0     -0.06 
  1901   1251455843.8360    0     -0.06 
  1902   1251455849.3280    0     -0.06 
  1903   1251455854.8240    0     -0.06 
  1904   1251455860.3440    0     -0.06 
  1905   1251455865.8840    0     -0.06 
  1906   1251455871.4040    0     -0.06 
  1907   1251455876.9120    0     -0.06 
  1908   1251455882.3680    0     -0.06 
  1909   1251455887.8840    0     -0.06 
  1910   1251455893.3720    0     -0.06 
  1911   1251455898.9160    0     -0.06 
  1912   1251455904.3760    0     -0.06 
  1913   1251455909.8840    0     -0.06 
  1914   1251455915.4600    0     -0.06 
  1915   1251455920.9720    0     -0.06 
  1916   1251455926.5160    0     -0.06 
  1917   1251455932.0560    0     -0.06 
  1918   1251455937.5520    0     -0.06 
  1919   1251455943.0560    0     -0.06 
  1920   1251455948.5800    0     -0.06 
  1921   1251455954.0360    0     -0.06 
  1922   1251455959.6080    0     -0.06 
  1923   1251455965.1000    0     -0.06 
