# UltraTide data for line 5093P2007/nrt
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  1875   1251322703.1080    0     -0.13 
  1876   1251322708.7880    0     -0.13 
  1877   1251322714.5160    0     -0.13 
  1878   1251322720.2960    0     -0.13 
  1879   1251322726.0520    0     -0.13 
  1880   1251322731.7280    0     -0.13 
  1881   1251322737.4560    0     -0.13 
  1882   1251322743.1280    0     -0.13 
  1883   1251322748.8760    0     -0.13 
  1884   1251322754.6400    0     -0.13 
  1885   1251322760.3640    0     -0.13 
  1886   1251322766.1360    0     -0.13 
  1887   1251322771.9200    0     -0.13 
  1888   1251322777.6520    0     -0.13 
  1889   1251322783.3680    0     -0.13 
  1890   1251322789.2400    0     -0.13 
  1891   1251322794.9880    0     -0.13 
  1892   1251322800.7360    0     -0.08 
  1893   1251322806.5360    0     -0.08 
  1894   1251322812.2720    0     -0.08 
  1895   1251322818.0360    0     -0.08 
  1896   1251322823.8280    0     -0.08 
  1897   1251322829.5960    0     -0.08 
  1898   1251322835.4480    0     -0.08 
  1899   1251322841.2560    0     -0.08 
  1900   1251322847.0120    0     -0.08 
  1901   1251322852.7320    0     -0.08 
  1902   1251322858.5680    0     -0.08 
  1903   1251322864.3960    0     -0.08 
  1904   1251322870.2040    0     -0.08 
  1905   1251322875.9880    0     -0.08 
  1906   1251322881.7080    0     -0.08 
  1907   1251322887.5360    0     -0.08 
  1908   1251322893.3600    0     -0.08 
  1909   1251322899.1400    0     -0.08 
  1910   1251322904.8520    0     -0.08 
  1911   1251322910.6760    0     -0.08 
  1912   1251322916.5240    0     -0.08 
  1913   1251322922.2960    0     -0.08 
  1914   1251322927.9800    0     -0.08 
  1915   1251322933.7120    0     -0.08 
  1916   1251322939.5320    0     -0.08 
  1917   1251322945.3320    0     -0.08 
  1918   1251322951.1360    0     -0.08 
  1919   1251322956.9080    0     -0.08 
  1920   1251322962.7360    0     -0.08 
  1921   1251322968.5360    0     -0.08 
  1922   1251322974.2760    0     -0.08 
  1923   1251322980.1120    0     -0.08 
  1924   1251322985.9480    0     -0.08 
  1925   1251322991.7760    0     -0.08 
