# UltraTide data for line 4669P1015/a015
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  1780   1251587103.5280    0     0.05 
  1781   1251587108.8720    0     0.05 
  1782   1251587114.4720    0     0.05 
  1783   1251587120.0920    0     0.05 
  1784   1251587125.6760    0     0.05 
  1785   1251587131.1680    0     0.05 
  1786   1251587136.6080    0     0.05 
  1787   1251587142.2280    0     0.05 
  1788   1251587147.7080    0     0.05 
  1789   1251587153.4120    0     0.05 
  1790   1251587158.7960    0     0.05 
  1791   1251587164.2680    0     0.05 
  1792   1251587170.0160    0     0.05 
  1793   1251587175.6080    0     0.05 
  1794   1251587181.1800    0     0.05 
  1795   1251587186.6480    0     0.05 
  1796   1251587192.2920    0     0.05 
  1797   1251587197.8640    0     0.05 
  1798   1251587203.4880    0     0.05 
  1799   1251587208.8720    0     0.05 
  1800   1251587214.3480    0     0.05 
  1801   1251587220.0720    0     0.05 
  1802   1251587225.4720    0     0.05 
  1803   1251587230.9840    0     0.05 
  1804   1251587236.6040    0     0.05 
  1805   1251587241.9520    0     0.05 
  1806   1251587247.6440    0     0.05 
  1807   1251587252.9280    0     0.05 
  1808   1251587258.5160    0     0.05 
  1809   1251587264.0520    0     0.05 
  1810   1251587269.6520    0     0.05 
  1811   1251587275.0120    0     0.05 
  1812   1251587280.6360    0     0.05 
  1813   1251587286.2400    0     0.05 
  1814   1251587291.7960    0     0.05 
  1815   1251587297.2480    0     0.05 
  1816   1251587302.6880    0     0.05 
  1817   1251587308.2720    0     0.05 
  1818   1251587313.8200    0     0.05 
  1819   1251587319.3760    0     0.05 
  1820   1251587324.7520    0     0.05 
  1821   1251587330.5560    0     0.05 
  1822   1251587336.0360    0     0.05 
  1823   1251587341.4800    0     0.05 
  1824   1251587347.0360    0     0.05 
  1825   1251587352.7720    0     0.05 
  1826   1251587358.1560    0     0.05 
  1827   1251587363.7360    0     0.05 
  1828   1251587369.3560    0     0.05 
  1829   1251587374.8920    0     0.05 
  1830   1251587380.4120    0     0.05 
  1831   1251587386.0280    0     0.05 
  1832   1251587391.4280    0     0.05 
  1833   1251587397.1640    0     0.05 
  1834   1251587402.4280    0     0.05 
  1835   1251587408.1160    0     0.05 
  1836   1251587413.6360    0     0.05 
  1837   1251587419.2840    0     0.05 
  1838   1251587424.6800    0     0.05 
  1839   1251587430.3200    0     0.05 
  1840   1251587435.9160    0     0.05 
  1841   1251587441.2240    0     0.05 
  1842   1251587446.7880    0     0.05 
  1843   1251587452.3000    0     0.05 
  1844   1251587457.7680    0     0.05 
  1845   1251587463.2920    0     0.05 
  1846   1251587468.7960    0     0.05 
  1847   1251587474.2360    0     0.05 
  1848   1251587479.8160    0     0.05 
  1849   1251587485.2680    0     0.05 
  1850   1251587490.6560    0     0.05 
  1851   1251587496.0920    0     0.05 
  1852   1251587501.6680    0     0.05 
  1853   1251587507.0680    0     0.05 
  1854   1251587512.4640    0     0.05 
  1855   1251587518.1880    0     0.05 
  1856   1251587523.6240    0     0.05 
  1857   1251587529.0400    0     0.05 
  1858   1251587534.5000    0     0.05 
  1859   1251587540.0680    0     0.05 
  1860   1251587545.4360    0     0.05 
  1861   1251587551.0640    0     0.05 
  1862   1251587556.5280    0     0.05 
  1863   1251587561.9320    0     0.05 
  1864   1251587567.4560    0     0.05 
  1865   1251587573.0280    0     0.05 
  1866   1251587578.4280    0     0.05 
  1867   1251587583.9600    0     0.05 
  1868   1251587589.4560    0     0.05 
  1869   1251587595.0400    0     0.05 
  1870   1251587600.5960    0     0.05 
  1871   1251587605.9640    0     0.05 
  1872   1251587611.5840    0     0.05 
  1873   1251587617.0320    0     0.05 
  1874   1251587622.5320    0     0.05 
  1875   1251587627.8920    0     0.05 
  1876   1251587633.5120    0     0.05 
  1877   1251587639.0520    0     0.05 
  1878   1251587644.4600    0     0.05 
  1879   1251587650.1240    0     0.05 
  1880   1251587655.4240    0     0.05 
  1881   1251587660.9960    0     0.05 
  1882   1251587666.5040    0     0.05 
  1883   1251587672.0120    0     0.05 
  1884   1251587677.4400    0     0.05 
  1885   1251587683.0640    0     0.05 
  1886   1251587688.3720    0     0.05 
  1887   1251587694.0720    0     0.05 
  1888   1251587699.5760    0     0.05 
  1889   1251587705.0320    0     0.05 
  1890   1251587710.6600    0     0.05 
  1891   1251587716.2320    0     0.05 
  1892   1251587721.7960    0     0.05 
  1893   1251587727.2400    0     0.05 
  1894   1251587732.8240    0     0.05 
  1895   1251587738.5000    0     0.05 
  1896   1251587743.8800    0     0.05 
  1897   1251587749.4280    0     0.05 
  1898   1251587754.9840    0     0.05 
  1899   1251587760.6440    0     0.05 
  1900   1251587766.0160    0     0.05 
  1901   1251587771.7160    0     0.05 
  1902   1251587777.3240    0     0.05 
  1903   1251587782.8280    0     0.05 
  1904   1251587788.5160    0     0.05 
  1905   1251587794.0240    0     0.05 
  1906   1251587799.5280    0     0.05 
  1907   1251587805.1520    0     0.05 
  1908   1251587810.6960    0     0.05 
  1909   1251587816.1640    0     0.05 
  1910   1251587821.7560    0     0.05 
  1911   1251587827.3120    0     0.05 
  1912   1251587832.7960    0     0.05 
  1913   1251587838.3440    0     0.05 
  1914   1251587843.8040    0     0.05 
  1915   1251587849.3280    0     0.05 
  1916   1251587855.0400    0     0.05 
  1917   1251587860.3600    0     0.05 
  1918   1251587866.0240    0     0.05 
  1919   1251587871.6160    0     0.05 
  1920   1251587877.1680    0     0.05 
  1921   1251587882.4120    0     0.05 
  1922   1251587888.2000    0     0.05 
  1923   1251587893.5320    0     0.05 
  1924   1251587899.0120    0     0.05 
  1925   1251587904.6800    0     0.05 
  1926   1251587910.1760    0     0.05 
  1927   1251587915.7880    0     0.05 
  1928   1251587921.2200    0     0.05 
  1929   1251587926.9360    0     0.05 
  1930   1251587932.5600    0     0.05 
  1931   1251587938.1080    0     0.05 
  1932   1251587943.7360    0     0.05 
  1933   1251587949.2960    0     0.05 
  1934   1251587954.6800    0     0.05 
  1935   1251587960.2280    0     0.05 
  1936   1251587965.9000    0     0.05 
  1937   1251587971.4320    0     0.05 
  1938   1251587976.9200    0     0.05 
  1939   1251587982.5520    0     0.05 
  1940   1251587987.9880    0     0.05 
  1941   1251587993.5760    0     0.05 
  1942   1251587999.2160    0     0.04 
  1943   1251588004.7040    0     0.02 
  1944   1251588010.3480    0     0.02 
  1945   1251588015.9040    0     0.02 
  1946   1251588021.4440    0     0.02 
  1947   1251588027.0200    0     0.02 
  1948   1251588032.8440    0     0.02 
  1949   1251588038.3320    0     0.02 
  1950   1251588044.0360    0     0.02 
  1951   1251588049.4880    0     0.02 
  1952   1251588055.2280    0     0.02 
  1953   1251588060.9520    0     0.02 
  1954   1251588066.2640    0     0.02 
  1955   1251588072.1240    0     0.02 
  1956   1251588077.6400    0     0.02 
  1957   1251588083.0440    0     0.02 
  1958   1251588088.8520    0     0.02 
  1959   1251588094.6080    0     0.02 
  1960   1251588099.9360    0     0.02 
  1961   1251588105.6280    0     0.02 
  1962   1251588111.2440    0     0.02 
  1963   1251588116.7560    0     0.02 
  1964   1251588122.4000    0     0.02 
  1965   1251588127.9960    0     0.02 
  1966   1251588133.4760    0     0.02 
  1967   1251588139.2680    0     0.02 
  1968   1251588144.9200    0     0.02 
  1969   1251588150.4960    0     0.02 
  1970   1251588156.2520    0     0.02 
  1971   1251588161.7760    0     0.02 
  1972   1251588167.4120    0     0.02 
  1973   1251588172.8000    0     0.02 
  1974   1251588178.6480    0     0.02 
  1975   1251588184.2080    0     0.02 
