# UltraTide data for line 5093P1001/a001
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  4360   1251136943.9720    0     0.30 
  4361   1251136949.4480    0     0.30 
  4362   1251136954.9920    0     0.30 
  4363   1251136960.5320    0     0.30 
  4364   1251136966.0320    0     0.30 
  4365   1251136971.5040    0     0.30 
  4366   1251136977.1760    0     0.30 
  4367   1251136982.7120    0     0.30 
  4368   1251136988.2320    0     0.30 
  4369   1251136993.7720    0     0.30 
  4370   1251136999.2960    0     0.30 
  4371   1251137004.8040    0     0.30 
  4372   1251137010.3520    0     0.30 
  4373   1251137015.8960    0     0.30 
  4374   1251137021.3760    0     0.30 
  4375   1251137026.9720    0     0.30 
  4376   1251137032.5240    0     0.30 
  4377   1251137038.1080    0     0.30 
  4378   1251137043.5400    0     0.30 
  4379   1251137049.1360    0     0.30 
  4380   1251137054.7720    0     0.30 
  4381   1251137060.3560    0     0.30 
  4382   1251137066.0000    0     0.30 
  4383   1251137071.4880    0     0.30 
  4384   1251137077.0720    0     0.30 
  4385   1251137082.5840    0     0.30 
  4386   1251137088.1920    0     0.30 
  4387   1251137093.7760    0     0.30 
  4388   1251137099.3160    0     0.30 
  4389   1251137104.8920    0     0.30 
  4390   1251137110.4560    0     0.30 
  4391   1251137115.9440    0     0.30 
  4392   1251137121.6120    0     0.30 
  4393   1251137127.1280    0     0.30 
  4394   1251137132.6720    0     0.30 
  4395   1251137138.2040    0     0.30 
  4396   1251137143.8560    0     0.30 
  4397   1251137149.3840    0     0.30 
  4398   1251137155.0040    0     0.30 
  4399   1251137160.5480    0     0.30 
  4400   1251137166.1160    0     0.30 
  4401   1251137171.8080    0     0.30 
  4402   1251137177.3040    0     0.30 
  4403   1251137182.8960    0     0.30 
  4404   1251137188.5240    0     0.30 
  4405   1251137194.0640    0     0.30 
  4406   1251137199.6920    0     0.30 
  4407   1251137205.2000    0     0.30 
  4408   1251137210.8280    0     0.30 
  4409   1251137216.3280    0     0.30 
  4410   1251137221.8360    0     0.30 
  4411   1251137227.4440    0     0.30 
  4412   1251137233.0800    0     0.30 
  4413   1251137238.5480    0     0.30 
  4414   1251137244.1280    0     0.30 
  4415   1251137249.7400    0     0.30 
  4416   1251137255.3120    0     0.30 
  4417   1251137260.8600    0     0.30 
  4418   1251137266.3240    0     0.30 
  4419   1251137271.9560    0     0.30 
  4420   1251137277.5440    0     0.30 
  4421   1251137283.0960    0     0.30 
  4422   1251137288.7760    0     0.30 
  4423   1251137294.2360    0     0.30 
  4424   1251137299.9080    0     0.30 
  4425   1251137305.5080    0     0.30 
  4426   1251137310.9640    0     0.30 
  4427   1251137316.5440    0     0.30 
  4428   1251137322.0960    0     0.30 
  4429   1251137327.7480    0     0.30 
  4430   1251137333.4640    0     0.30 
  4431   1251137339.0320    0     0.30 
  4432   1251137344.6080    0     0.30 
  4433   1251137350.3000    0     0.30 
  4434   1251137355.8320    0     0.30 
  4435   1251137361.3680    0     0.30 
  4436   1251137366.8760    0     0.30 
  4437   1251137372.4920    0     0.30 
  4438   1251137378.0720    0     0.30 
  4439   1251137383.6040    0     0.30 
  4440   1251137389.2240    0     0.30 
  4441   1251137394.7240    0     0.30 
  4442   1251137400.3120    0     0.25 
  4443   1251137405.7720    0     0.25 
  4444   1251137411.4840    0     0.25 
  4445   1251137416.9600    0     0.25 
  4446   1251137422.5640    0     0.25 
  4447   1251137428.0600    0     0.25 
  4448   1251137433.5240    0     0.25 
  4449   1251137439.1520    0     0.25 
  4450   1251137444.6320    0     0.25 
  4451   1251137450.2480    0     0.25 
  4452   1251137455.6920    0     0.25 
  4453   1251137461.2960    0     0.25 
  4454   1251137466.7400    0     0.25 
  4455   1251137472.2640    0     0.25 
  4456   1251137477.7720    0     0.25 
  4457   1251137483.2320    0     0.25 
  4458   1251137488.7240    0     0.25 
  4459   1251137494.2600    0     0.25 
  4460   1251137499.6840    0     0.25 
  4461   1251137505.1960    0     0.25 
  4462   1251137510.4880    0     0.25 
  4463   1251137516.0040    0     0.25 
  4464   1251137521.5040    0     0.25 
  4465   1251137526.9760    0     0.25 
  4466   1251137532.4560    0     0.25 
  4467   1251137537.9400    0     0.25 
  4468   1251137543.3920    0     0.25 
  4469   1251137548.9240    0     0.25 
  4470   1251137554.3200    0     0.25 
  4471   1251137559.8760    0     0.25 
  4472   1251137565.2200    0     0.25 
  4473   1251137570.6760    0     0.25 
  4474   1251137576.2040    0     0.25 
  4475   1251137581.5720    0     0.25 
  4476   1251137587.1160    0     0.25 
  4477   1251137592.6360    0     0.25 
  4478   1251137598.0800    0     0.25 
  4479   1251137603.4480    0     0.25 
  4480   1251137608.9440    0     0.25 
  4481   1251137614.3160    0     0.25 
  4482   1251137619.6520    0     0.25 
  4483   1251137625.0440    0     0.25 
  4484   1251137630.5120    0     0.25 
  4485   1251137635.7720    0     0.25 
  4486   1251137641.2080    0     0.25 
  4487   1251137646.5840    0     0.25 
  4488   1251137651.9760    0     0.25 
  4489   1251137657.3120    0     0.25 
  4490   1251137662.7040    0     0.25 
  4491   1251137668.0360    0     0.25 
  4492   1251137673.4000    0     0.25 
  4493   1251137678.6960    0     0.25 
  4494   1251137683.9760    0     0.25 
  4495   1251137689.2960    0     0.25 
  4496   1251137694.5640    0     0.25 
  4497   1251137699.9200    0     0.25 
  4498   1251137705.2240    0     0.25 
  4499   1251137710.4880    0     0.25 
  4500   1251137715.8680    0     0.25 
  4501   1251137721.1160    0     0.25 
  4502   1251137726.4920    0     0.25 
  4503   1251137731.7640    0     0.25 
  4504   1251137737.1000    0     0.25 
  4505   1251137742.3600    0     0.25 
  4506   1251137747.6400    0     0.25 
  4507   1251137752.9880    0     0.25 
  4508   1251137758.1800    0     0.25 
  4509   1251137763.4520    0     0.25 
  4510   1251137768.8440    0     0.25 
  4511   1251137774.0760    0     0.25 
  4512   1251137779.3720    0     0.25 
  4513   1251137784.6640    0     0.25 
  4514   1251137790.0000    0     0.25 
  4515   1251137795.2560    0     0.25 
  4516   1251137800.5600    0     0.25 
  4517   1251137805.8440    0     0.25 
  4518   1251137811.1000    0     0.25 
  4519   1251137816.3720    0     0.25 
  4520   1251137821.7120    0     0.25 
  4521   1251137827.0720    0     0.25 
  4522   1251137832.3240    0     0.25 
  4523   1251137837.6800    0     0.25 
  4524   1251137842.8520    0     0.25 
  4525   1251137848.1400    0     0.25 
  4526   1251137853.4160    0     0.25 
  4527   1251137858.6360    0     0.25 
  4528   1251137863.8880    0     0.25 
  4529   1251137869.1200    0     0.25 
  4530   1251137874.3720    0     0.25 
  4531   1251137879.6160    0     0.25 
  4532   1251137884.8080    0     0.25 
  4533   1251137890.1480    0     0.25 
  4534   1251137895.2920    0     0.25 
  4535   1251137900.4360    0     0.25 
  4536   1251137905.7040    0     0.25 
  4537   1251137910.9440    0     0.25 
  4538   1251137916.1240    0     0.25 
  4539   1251137921.3720    0     0.25 
  4540   1251137926.4720    0     0.25 
  4541   1251137931.7240    0     0.25 
  4542   1251137936.8680    0     0.25 
  4543   1251137942.2320    0     0.25 
  4544   1251137947.2880    0     0.25 
  4545   1251137952.5520    0     0.25 
  4546   1251137957.5880    0     0.25 
  4547   1251137962.8480    0     0.25 
  4548   1251137967.9680    0     0.25 
  4549   1251137973.2160    0     0.25 
  4550   1251137978.3240    0     0.25 
  4551   1251137983.6960    0     0.25 
  4552   1251137988.7280    0     0.25 
  4553   1251137993.9880    0     0.25 
  4554   1251137999.1120    0     0.25 
  4555   1251138004.3200    0     0.21 
  4556   1251138009.4120    0     0.21 
  4557   1251138014.6280    0     0.21 
  4558   1251138019.8440    0     0.21 
  4559   1251138024.9120    0     0.21 
  4560   1251138030.1960    0     0.21 
  4561   1251138035.2240    0     0.21 
  4562   1251138040.4040    0     0.21 
  4563   1251138045.5960    0     0.21 
  4564   1251138050.7760    0     0.21 
  4565   1251138055.8640    0     0.21 
  4566   1251138060.9640    0     0.21 
  4567   1251138066.1800    0     0.21 
  4568   1251138071.2280    0     0.21 
  4569   1251138076.4200    0     0.21 
  4570   1251138081.4840    0     0.21 
  4571   1251138086.6760    0     0.21 
  4572   1251138091.7920    0     0.21 
  4573   1251138096.8760    0     0.21 
  4574   1251138102.0160    0     0.21 
  4575   1251138107.2120    0     0.21 
  4576   1251138112.2760    0     0.21 
  4577   1251138117.4440    0     0.21 
  4578   1251138122.4480    0     0.21 
  4579   1251138127.5160    0     0.21 
  4580   1251138132.6840    0     0.21 
  4581   1251138137.7880    0     0.21 
  4582   1251138142.8640    0     0.21 
  4583   1251138147.9720    0     0.21 
  4584   1251138153.0400    0     0.21 
  4585   1251138158.0920    0     0.21 
  4586   1251138163.2040    0     0.21 
  4587   1251138168.2720    0     0.21 
  4588   1251138173.3280    0     0.21 
  4589   1251138178.4680    0     0.21 
  4590   1251138183.5760    0     0.21 
  4591   1251138188.6440    0     0.21 
  4592   1251138193.7000    0     0.21 
  4593   1251138198.8160    0     0.21 
  4594   1251138203.8240    0     0.21 
  4595   1251138208.9800    0     0.21 
  4596   1251138214.0200    0     0.21 
  4597   1251138219.1240    0     0.21 
  4598   1251138224.1560    0     0.21 
  4599   1251138229.2200    0     0.21 
  4600   1251138234.4040    0     0.21 
  4601   1251138239.4880    0     0.21 
  4602   1251138244.5440    0     0.21 
  4603   1251138249.6840    0     0.21 
  4604   1251138254.7440    0     0.21 
  4605   1251138259.8440    0     0.21 
  4606   1251138264.8600    0     0.21 
  4607   1251138269.8160    0     0.21 
  4608   1251138274.9960    0     0.21 
  4609   1251138280.1160    0     0.21 
  4610   1251138285.1760    0     0.21 
  4611   1251138290.4080    0     0.21 
  4612   1251138295.5280    0     0.21 
