# UltraTide data for line 4457P1023/a023
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  1732   1251857959.8040    0     0.02 
  1733   1251857965.3640    0     0.02 
  1734   1251857970.9320    0     0.02 
  1735   1251857976.4840    0     0.02 
  1736   1251857982.0760    0     0.02 
  1737   1251857987.6120    0     0.02 
  1738   1251857993.1760    0     0.02 
  1739   1251857998.6640    0     0.02 
  1740   1251858004.2040    0     0.03 
  1741   1251858009.7800    0     0.03 
  1742   1251858015.3480    0     0.03 
  1743   1251858020.8920    0     0.03 
  1744   1251858026.4200    0     0.03 
  1745   1251858031.9640    0     0.03 
  1746   1251858037.4760    0     0.03 
  1747   1251858043.0200    0     0.03 
  1748   1251858048.5800    0     0.03 
  1749   1251858054.1600    0     0.03 
  1750   1251858059.6280    0     0.03 
  1751   1251858065.1960    0     0.03 
  1752   1251858070.7360    0     0.03 
  1753   1251858076.2640    0     0.03 
  1754   1251858081.7760    0     0.03 
  1755   1251858087.2960    0     0.03 
  1756   1251858092.8440    0     0.03 
  1757   1251858098.3960    0     0.03 
  1758   1251858103.9000    0     0.03 
  1759   1251858109.4360    0     0.03 
  1760   1251858114.9720    0     0.03 
  1761   1251858120.5480    0     0.03 
  1762   1251858126.0840    0     0.03 
  1763   1251858131.6920    0     0.03 
  1764   1251858137.2280    0     0.03 
  1765   1251858142.7720    0     0.03 
  1766   1251858148.3600    0     0.03 
  1767   1251858153.9320    0     0.03 
  1768   1251858159.4400    0     0.03 
  1769   1251858165.0400    0     0.03 
  1770   1251858170.6280    0     0.03 
  1771   1251858176.1640    0     0.03 
  1772   1251858181.7800    0     0.03 
  1773   1251858187.3560    0     0.03 
  1774   1251858192.8520    0     0.03 
  1775   1251858198.3760    0     0.03 
  1776   1251858203.9440    0     0.03 
  1777   1251858209.5000    0     0.03 
  1778   1251858215.1160    0     0.03 
  1779   1251858220.7280    0     0.03 
  1780   1251858226.3160    0     0.03 
  1781   1251858231.9200    0     0.03 
  1782   1251858237.4400    0     0.03 
  1783   1251858243.0000    0     0.03 
  1784   1251858248.5800    0     0.03 
  1785   1251858254.1240    0     0.03 
  1786   1251858259.7640    0     0.03 
  1787   1251858265.4000    0     0.03 
  1788   1251858270.9680    0     0.03 
  1789   1251858276.5600    0     0.03 
  1790   1251858282.1360    0     0.03 
  1791   1251858287.6920    0     0.03 
  1792   1251858293.2800    0     0.03 
  1793   1251858298.9160    0     0.03 
  1794   1251858304.5400    0     0.03 
  1795   1251858310.1080    0     0.03 
  1796   1251858315.6880    0     0.03 
  1797   1251858321.2440    0     0.03 
  1798   1251858326.8040    0     0.03 
  1799   1251858332.3800    0     0.03 
  1800   1251858337.9840    0     0.03 
