# UltraTide data for line 5411P1037/nrt
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  1946   1252327501.3040    0     0.04 
  1947   1252327506.8280    0     0.04 
  1948   1252327512.3680    0     0.04 
  1949   1252327517.9120    0     0.04 
  1950   1252327523.4520    0     0.04 
  1951   1252327529.0160    0     0.04 
  1952   1252327534.5760    0     0.04 
  1953   1252327540.1680    0     0.04 
  1954   1252327545.6920    0     0.04 
  1955   1252327551.2040    0     0.04 
  1956   1252327556.8040    0     0.04 
  1957   1252327562.3800    0     0.04 
  1958   1252327568.0200    0     0.04 
  1959   1252327573.5600    0     0.04 
  1960   1252327579.0480    0     0.04 
  1961   1252327584.7320    0     0.04 
  1962   1252327590.2400    0     0.04 
  1963   1252327595.8320    0     0.04 
  1964   1252327601.5360    0     0.04 
  1965   1252327607.0480    0     0.04 
  1966   1252327612.6240    0     0.04 
  1967   1252327618.2920    0     0.04 
  1968   1252327623.9080    0     0.04 
  1969   1252327629.5640    0     0.04 
  1970   1252327635.2440    0     0.04 
  1971   1252327640.8680    0     0.04 
  1972   1252327646.5480    0     0.04 
  1973   1252327652.0640    0     0.04 
  1974   1252327657.6800    0     0.04 
  1975   1252327663.3360    0     0.04 
  1976   1252327668.9040    0     0.04 
  1977   1252327674.4360    0     0.04 
  1978   1252327680.0120    0     0.04 
  1979   1252327685.5160    0     0.04 
  1980   1252327691.0760    0     0.04 
  1981   1252327696.6360    0     0.04 
  1982   1252327702.1680    0     0.04 
  1983   1252327707.6440    0     0.04 
  1984   1252327713.2520    0     0.04 
  1985   1252327718.7880    0     0.04 
  1986   1252327724.3160    0     0.04 
  1987   1252327729.8240    0     0.04 
  1988   1252327735.3640    0     0.04 
  1989   1252327740.8160    0     0.04 
  1990   1252327746.4400    0     0.04 
  1991   1252327751.9000    0     0.04 
  1992   1252327757.3960    0     0.04 
  1993   1252327762.9440    0     0.04 
  1994   1252327768.5040    0     0.04 
  1995   1252327774.0600    0     0.04 
  1996   1252327779.5400    0     0.04 
  1997   1252327785.0400    0     0.04 
  1998   1252327790.5600    0     0.04 
  1999   1252327796.1680    0     0.04 
  2000   1252327801.6560    0     0.04 
  2001   1252327807.1920    0     0.04 
  2002   1252327812.6880    0     0.04 
  2003   1252327818.2320    0     0.04 
  2004   1252327823.8000    0     0.04 
  2005   1252327829.3160    0     0.04 
  2006   1252327834.9360    0     0.04 
  2007   1252327840.4200    0     0.04 
  2008   1252327845.9600    0     0.04 
  2009   1252327851.5240    0     0.04 
  2010   1252327857.0120    0     0.04 
  2011   1252327862.6480    0     0.04 
  2012   1252327868.1680    0     0.04 
  2013   1252327873.6960    0     0.04 
  2014   1252327879.3240    0     0.04 
  2015   1252327884.8120    0     0.04 
  2016   1252327890.4240    0     0.04 
  2017   1252327896.0280    0     0.04 
  2018   1252327901.4440    0     0.04 
  2019   1252327907.1120    0     0.04 
  2020   1252327912.6800    0     0.04 
  2021   1252327918.1720    0     0.04 
  2022   1252327923.8360    0     0.04 
  2023   1252327929.2960    0     0.04 
  2024   1252327934.9280    0     0.04 
  2025   1252327940.3880    0     0.04 
  2026   1252327945.9720    0     0.04 
  2027   1252327951.5080    0     0.04 
  2028   1252327957.1040    0     0.04 
  2029   1252327962.6600    0     0.04 
  2030   1252327968.2200    0     0.04 
  2031   1252327973.8280    0     0.04 
  2032   1252327979.3800    0     0.04 
  2033   1252327984.9720    0     0.04 
  2034   1252327990.5400    0     0.04 
  2035   1252327996.1160    0     0.04 
  2036   1252328001.6600    0     0.04 
  2037   1252328007.2440    0     0.04 
  2038   1252328012.8080    0     0.04 
  2039   1252328018.3120    0     0.04 
  2040   1252328023.8920    0     0.04 
  2041   1252328029.4920    0     0.04 
  2042   1252328035.0240    0     0.04 
  2043   1252328040.6240    0     0.04 
  2044   1252328046.2520    0     0.04 
  2045   1252328051.7400    0     0.04 
  2046   1252328057.3960    0     0.04 
  2047   1252328063.0160    0     0.04 
  2048   1252328068.5840    0     0.04 
  2049   1252328074.2040    0     0.04 
  2050   1252328079.7120    0     0.04 
  2051   1252328085.2840    0     0.04 
  2052   1252328090.8920    0     0.04 
  2053   1252328096.4600    0     0.04 
  2054   1252328102.0760    0     0.04 
  2055   1252328107.6000    0     0.04 
  2056   1252328113.2040    0     0.04 
  2057   1252328118.7920    0     0.04 
  2058   1252328124.3480    0     0.04 
  2059   1252328130.0200    0     0.04 
  2060   1252328135.5640    0     0.04 
  2061   1252328141.1920    0     0.04 
  2062   1252328146.7400    0     0.04 
  2063   1252328152.3320    0     0.04 
  2064   1252328157.8800    0     0.04 
  2065   1252328163.4800    0     0.04 
  2066   1252328169.0400    0     0.04 
  2067   1252328174.6760    0     0.04 
  2068   1252328180.2800    0     0.04 
  2069   1252328185.7680    0     0.04 
  2070   1252328191.3520    0     0.04 
  2071   1252328196.9400    0     0.04 
