# UltraTide data for line 5305P1005/nrt
#Shot    Time               status  ultraTide 
#Name: ACO.ULTRATIDE1
  1923   1251256544.9880    0     0.21 
  1924   1251256550.5360    0     0.21 
  1925   1251256556.0960    0     0.21 
  1926   1251256561.5840    0     0.21 
  1927   1251256567.1800    0     0.21 
  1928   1251256572.6680    0     0.21 
  1929   1251256578.1040    0     0.21 
  1930   1251256583.6880    0     0.21 
  1931   1251256589.1920    0     0.21 
  1932   1251256594.6080    0     0.21 
  1933   1251256600.2400    0     0.21 
  1934   1251256605.8520    0     0.21 
  1935   1251256611.3840    0     0.21 
  1936   1251256616.9800    0     0.21 
  1937   1251256622.4920    0     0.21 
  1938   1251256627.9400    0     0.21 
  1939   1251256633.5160    0     0.21 
  1940   1251256639.0320    0     0.21 
  1941   1251256644.5000    0     0.21 
  1942   1251256650.0880    0     0.21 
  1943   1251256655.6120    0     0.21 
  1944   1251256661.1200    0     0.21 
  1945   1251256666.6480    0     0.21 
  1946   1251256672.1320    0     0.21 
  1947   1251256677.6840    0     0.21 
  1948   1251256683.1160    0     0.21 
  1949   1251256688.6880    0     0.21 
  1950   1251256694.2360    0     0.21 
  1951   1251256699.7680    0     0.21 
  1952   1251256705.3160    0     0.21 
  1953   1251256710.8320    0     0.21 
  1954   1251256716.2800    0     0.21 
  1955   1251256721.9160    0     0.21 
  1956   1251256727.4280    0     0.21 
  1957   1251256732.9520    0     0.21 
  1958   1251256738.3440    0     0.21 
  1959   1251256743.8880    0     0.21 
  1960   1251256749.5120    0     0.21 
  1961   1251256755.0760    0     0.21 
  1962   1251256760.6200    0     0.21 
  1963   1251256765.8360    0     0.21 
  1964   1251256771.4200    0     0.21 
  1965   1251256777.2000    0     0.21 
  1966   1251256782.7440    0     0.21 
  1967   1251256788.2480    0     0.21 
  1968   1251256793.7960    0     0.21 
  1969   1251256799.3320    0     0.23 
  1970   1251256804.7640    0     0.27 
  1971   1251256810.2480    0     0.27 
  1972   1251256815.7600    0     0.27 
  1973   1251256821.4040    0     0.27 
  1974   1251256826.9440    0     0.27 
  1975   1251256832.5440    0     0.27 
  1976   1251256838.0600    0     0.27 
  1977   1251256843.5120    0     0.27 
  1978   1251256849.1760    0     0.27 
  1979   1251256854.6680    0     0.27 
  1980   1251256860.1480    0     0.27 
  1981   1251256865.7680    0     0.27 
  1982   1251256871.2680    0     0.27 
  1983   1251256876.7720    0     0.27 
  1984   1251256882.4080    0     0.27 
  1985   1251256887.8400    0     0.27 
  1986   1251256893.3880    0     0.27 
  1987   1251256898.9960    0     0.27 
  1988   1251256904.6720    0     0.27 
  1989   1251256910.0360    0     0.27 
  1990   1251256915.6200    0     0.27 
  1991   1251256921.1320    0     0.27 
  1992   1251256926.6240    0     0.27 
  1993   1251256932.2200    0     0.27 
  1994   1251256937.7200    0     0.27 
  1995   1251256943.2040    0     0.27 
  1996   1251256948.6960    0     0.27 
  1997   1251256954.2600    0     0.27 
  1998   1251256959.7960    0     0.27 
  1999   1251256965.3840    0     0.27 
  2000   1251256970.8800    0     0.27 
  2001   1251256976.3880    0     0.27 
  2002   1251256981.8280    0     0.27 
  2003   1251256987.3280    0     0.27 
  2004   1251256992.9320    0     0.27 
  2005   1251256998.4040    0     0.27 
  2006   1251257003.9240    0     0.27 
  2007   1251257009.5520    0     0.27 
  2008   1251257015.0160    0     0.27 
  2009   1251257020.4720    0     0.27 
  2010   1251257026.0320    0     0.27 
  2011   1251257031.5080    0     0.27 
  2012   1251257037.0000    0     0.27 
  2013   1251257042.5560    0     0.27 
  2014   1251257047.9480    0     0.27 
  2015   1251257053.5160    0     0.27 
  2016   1251257059.0320    0     0.27 
  2017   1251257064.5440    0     0.27 
  2018   1251257070.0560    0     0.27 
  2019   1251257075.6080    0     0.27 
  2020   1251257081.1960    0     0.27 
  2021   1251257086.7480    0     0.27 
  2022   1251257092.2080    0     0.27 
  2023   1251257097.7120    0     0.27 
  2024   1251257103.2360    0     0.27 
  2025   1251257108.7200    0     0.27 
  2026   1251257114.2640    0     0.27 
  2027   1251257119.7000    0     0.27 
  2028   1251257125.2240    0     0.27 
  2029   1251257130.7960    0     0.27 
  2030   1251257136.2800    0     0.27 
  2031   1251257141.8920    0     0.27 
  2032   1251257147.3960    0     0.27 
  2033   1251257152.8280    0     0.27 
  2034   1251257158.4080    0     0.27 
  2035   1251257164.0000    0     0.27 
  2036   1251257169.2920    0     0.27 
  2037   1251257174.8480    0     0.27 
  2038   1251257180.4240    0     0.27 
  2039   1251257185.9000    0     0.27 
  2040   1251257191.4120    0     0.27 
  2041   1251257197.1040    0     0.27 
  2042   1251257202.5160    0     0.27 
  2043   1251257207.9880    0     0.27 
  2044   1251257213.6680    0     0.27 
  2045   1251257219.1440    0     0.27 
  2046   1251257224.6320    0     0.27 
  2047   1251257230.2880    0     0.27 
  2048   1251257235.8400    0     0.27 
  2049   1251257241.2560    0     0.27 
  2050   1251257246.6520    0     0.27 
  2051   1251257252.2480    0     0.27 
  2052   1251257257.7040    0     0.27 
  2053   1251257263.1960    0     0.27 
  2054   1251257268.8840    0     0.27 
  2055   1251257274.3120    0     0.27 
  2056   1251257279.8480    0     0.27 
  2057   1251257285.3440    0     0.27 
  2058   1251257290.9360    0     0.27 
  2059   1251257296.4200    0     0.27 
  2060   1251257301.9240    0     0.27 
  2061   1251257307.4240    0     0.27 
  2062   1251257312.9320    0     0.27 
  2063   1251257318.4560    0     0.27 
  2064   1251257323.9600    0     0.27 
  2065   1251257329.4640    0     0.27 
  2066   1251257335.0640    0     0.27 
  2067   1251257340.5360    0     0.27 
  2068   1251257345.9560    0     0.27 
  2069   1251257351.5600    0     0.27 
  2070   1251257357.0760    0     0.27 
  2071   1251257362.6080    0     0.27 
  2072   1251257368.0040    0     0.27 
  2073   1251257373.6080    0     0.27 
  2074   1251257379.0440    0     0.27 
  2075   1251257384.5120    0     0.27 
  2076   1251257389.9800    0     0.27 
  2077   1251257395.6200    0     0.27 
  2078   1251257401.1320    0     0.30 
  2079   1251257406.6480    0     0.30 
  2080   1251257412.1000    0     0.30 
  2081   1251257417.6160    0     0.30 
  2082   1251257423.2800    0     0.30 
  2083   1251257428.7320    0     0.30 
  2084   1251257434.2080    0     0.30 
  2085   1251257439.7760    0     0.30 
  2086   1251257445.2280    0     0.30 
  2087   1251257450.6000    0     0.30 
  2088   1251257456.1640    0     0.30 
  2089   1251257461.7320    0     0.30 
  2090   1251257467.1680    0     0.30 
  2091   1251257472.7720    0     0.30 
  2092   1251257478.1840    0     0.30 
  2093   1251257483.6440    0     0.30 
  2094   1251257489.1360    0     0.30 
  2095   1251257494.6480    0     0.30 
  2096   1251257500.1120    0     0.30 
  2097   1251257505.6880    0     0.30 
  2098   1251257511.1400    0     0.30 
  2099   1251257516.6720    0     0.30 
  2100   1251257522.3120    0     0.30 
  2101   1251257527.7480    0     0.30 
  2102   1251257533.2480    0     0.30 
  2103   1251257538.8640    0     0.30 
  2104   1251257544.3760    0     0.30 
  2105   1251257549.8960    0     0.30 
  2106   1251257555.3320    0     0.30 
  2107   1251257560.9280    0     0.30 
  2108   1251257566.4280    0     0.30 
  2109   1251257571.9040    0     0.30 
  2110   1251257577.4720    0     0.30 
  2111   1251257582.9520    0     0.30 
  2112   1251257588.4840    0     0.30 
  2113   1251257594.0400    0     0.30 
  2114   1251257599.4840    0     0.30 
  2115   1251257605.0400    0     0.30 
  2116   1251257610.4480    0     0.30 
  2117   1251257615.9080    0     0.30 
  2118   1251257621.4200    0     0.30 
  2119   1251257626.8760    0     0.30 
  2120   1251257632.4440    0     0.30 
  2121   1251257637.9960    0     0.30 
  2122   1251257643.5800    0     0.30 
  2123   1251257648.9280    0     0.30 
  2124   1251257654.5160    0     0.30 
  2125   1251257659.9840    0     0.30 
  2126   1251257665.3560    0     0.30 
  2127   1251257670.9320    0     0.30 
  2128   1251257676.4400    0     0.30 
  2129   1251257681.7520    0     0.30 
  2130   1251257687.3520    0     0.30 
  2131   1251257692.9040    0     0.30 
  2132   1251257698.3640    0     0.30 
  2133   1251257703.8560    0     0.30 
  2134   1251257709.4680    0     0.30 
  2135   1251257714.8680    0     0.30 
  2136   1251257720.3000    0     0.30 
  2137   1251257725.8760    0     0.30 
  2138   1251257731.2880    0     0.30 
  2139   1251257736.6240    0     0.30 
  2140   1251257742.2360    0     0.30 
  2141   1251257747.7520    0     0.30 
  2142   1251257753.2880    0     0.30 
  2143   1251257758.7960    0     0.30 
  2144   1251257764.3240    0     0.30 
  2145   1251257769.8560    0     0.30 
  2146   1251257775.2160    0     0.30 
  2147   1251257780.7800    0     0.30 
  2148   1251257786.2160    0     0.30 
  2149   1251257791.6400    0     0.30 
  2150   1251257797.1720    0     0.30 
  2151   1251257802.7360    0     0.30 
  2152   1251257808.2560    0     0.30 
  2153   1251257813.7640    0     0.30 
  2154   1251257819.3200    0     0.30 
